YEAR,green,total,co2,GREEN_SHARE,CARBON_INTENSITY
1990,934099745.0,3037719416.0,1953698942,0.30750033728592396,0.6431466091666183
1991,970338541.0,3073601478.0,1950465707,0.3157008310756675,0.6345864032669495
1992,945634087.0,3084338909.0,1972275109,0.3065921466154937,0.6394482471575889
1993,966998505.0,3197739512.0,2057052600,0.30240064938722877,0.6432833544698059
1994,977100712.0,3247233296.0,2088138401,0.3009025293019784,0.643051549013188
1995,1058200252.0,3352108670.0,2108006095,0.31568196504798873,0.6288597126536474
1996,1097686224.0,3443704441.0,2186979641,0.3187515777867535,0.6350660105908897
1997,1062280289.0,3492600200.0,2259321520,0.3041517002146424,0.646888103596856
1998,1074126175.0,3621191364.0,2351599517,0.29662231763789215,0.6493994049522979
1999,1127213168.0,3696882953.0,2366302296,0.30490907673592227,0.6400803936948447
2000,1110371516.0,3802849990.0,2470834445,0.29198404326224814,0.649732293279336
2001,1056555997.0,3733560755.0,2418606723,0.2829888319307663,0.6478016246986184
2002,1123502092.0,3853668268.0,2423963090,0.29154094589026003,0.6290014919364098
2003,1119025815.0,3877675769.0,2445094300,0.28858158383071353,0.6305566647802936
2004,1140013018.0,3964811068.0,2486981558,0.28753274707111465,0.6272635733067924
2005,1139637019.0,4049159479.0,2543838163,0.2814502676198494,0.6282385705460627
2006,1172990544.0,4058285673.0,2488917751,0.2890359719632285,0.6132928905323024
2007,1159172240.0,4151409949.0,2547032486,0.2792237466885735,0.6135343214209751
2008,1187140831.0,4113872164.0,2484012111,0.28857018003343093,0.6038136363928104
2009,1216578382.0,3943029939.0,2269507628,0.30853896643466494,0.5755745361080303
2010,1234344379.0,4117705692.0,2388595915,0.29976508068513025,0.5800793193259621
2011,1303540462.73,4092407842.7200003,2287070730,0.3185265283490435,0.5588569902846997
2012,1263904452.0,4038928699.0,2156874777,0.3129306175454225,0.5340215036561605
2013,1311089922.25,4057057578.82,2172354965,0.32316275940834244,0.5354508588541728
2014,1335745302.0,4086344414.0,2168284275,0.326880254494378,0.5306171128335048
2015,1341418861.0,4069850511.0,2031452263,0.32959904973767723,0.49914665354645993
2016,1415139051.0,4070570861.0,1928400912,0.34765125072711517,0.47374213048983943
2017,1491532312.0,4028929026.0,1849749801,0.3702056557399381,0.45911699835439096
2018,1513900295.0,4173919042.0,1872329524,0.3627047577507853,0.44857830378589314
2019,1538081970.0,4122503459.0,1724872686,0.37309416118066624,0.41840418162278614
2020,1572890834.0,4002232866.0,1553585818,0.3930033275580022,0.38817976614956917
2021,1594911812.0,4102671008.0,1651911306,0.38874962405954633,0.40264288868857795
2022,1672351339.0,4225581201.0,1650366513,0.39576835929794263,0.3905655658940915
2023,1670114079.0,4179303087.0,1531554273,0.399615448851987,0.3664616423163951
2024,1758328444.0,4306316026.0,1537072640,0.40831384259395737,0.356934472695386
